id,label,class,unit_cost_cents,unit_mass_g,price_per_kg_cents,fmv_per_kg_cents,material_mix_json,regulatory_flags_json,mass_prior_mean_g,mass_prior_var,mass_prior_n,price_source
13,coffee cup with lid,inventory,8,16.0,,,"{""mixed_paper"":0.75,""mixed_plastics"":0.25}",[],16.0,92.2,3,https://www.webstaurantstore.com/choice-12-oz-white-poly-paper-hot-cup-case/50012W.html
14,cardboard box small,inventory,38,150.0,,,"{""corrugated_containers"":1.0}",[],150.0,8100.0,3,https://www.packagingprice.com/8-x-6-x-4-corrugated-boxes-25-pack/
15,cardboard box medium,inventory,83,330.0,,,"{""corrugated_containers"":1.0}",[],330.0,39204.0,3,https://www.packagingprice.com/12l-x-10w-x-8h-corrugated-box-25-pack/
16,paper cup,inventory,11,10.0,,,"{""mixed_paper"":1.0}",[],10.0,36.0,3,https://www.webstaurantstore.com/dart-solo-r9n-j8000-symphony-9-oz-wax-treated-paper-cold-cup-case/760R9NSYM.html
17,plastic cup,inventory,6,12.0,,,"{""pet"":1.0}",[],12.0,51.8,3,https://www.webstaurantstore.com/choice-16-oz-clear-pet-plastic-cold-cup-case/500CC16.html
18,plastic clamshell,inventory,29,30.0,,,"{""pet"":1.0}",[],30.0,324.0,3,https://www.webstaurantstore.com/choice-9-x-9-x-3-clear-hinged-pet-plastic-3-compartment-clamshell-container-case/100CC904.html
19,paper napkins,inventory,2,2.0,,,"{""mixed_paper"":1.0}",[],2.0,1.4,3,https://www.webstaurantstore.com/dixie-1-ply-1-4-fold-paper-dinner-napkin-case/500136202.html
20,pizza box,inventory,49,300.0,,,"{""corrugated_containers"":1.0}",[],300.0,32400.0,3,https://www.webstaurantstore.com/choice-14-x-14-x-2-kraft-corrugated-pizza-box-50-case/245CPB14PRINT.html
21,usb cable,untracked,1499,,,,"{""mixed_electronics"":1.0}","[""electronics""]",40.0,576.0,3,https://www.anker.com/products/a82g2
22,usb-c charger,untracked,1199,31.0,,,"{""mixed_electronics"":1.0}","[""electronics""]",31.0,346.0,3,https://www.anker.com/products/a2637
23,laptop charger,untracked,2999,112.0,,,"{""mixed_electronics"":1.0}","[""electronics""]",112.0,4515.8,3,https://www.anker.com/products/a2663
24,mouse,untracked,1799,75.2,,,"{""electronic_peripherals"":1.0}","[""electronics""]",75.2,2035.8,3,https://www.logitech.com/en-us/shop/p/m185-wireless-mouse
25,keyboard,untracked,1299,685.0,,,"{""electronic_peripherals"":1.0}","[""electronics""]",685.0,168921.0,3,https://www.logitech.com/en-us/shop/p/k120-usb-standard-computer
26,earbuds,untracked,3999,,,,"{""portable_electronic_devices"":1.0}","[""electronics"",""battery""]",55.0,1089.0,3,https://www.soundcore.com/products/p20i
27,phone,untracked,16999,200.0,,,"{""portable_electronic_devices"":1.0}","[""electronics"",""battery""]",200.0,14400.0,3,https://www.bestbuy.com/product/samsung-galaxy-a16-5g-128gb-unlocked-blue-black/J3ZYG2FPFL
28,hdmi cable,untracked,779,,,,"{""mixed_electronics"":1.0}","[""electronics""]",130.0,6084.0,3,https://www.monoprice.com/product?p_id=13779
29,power bank,untracked,2599,212.0,,,"{""portable_electronic_devices"":1.0}","[""electronics"",""battery""]",212.0,16179.8,3,https://www.anker.com/products/a1229
30,webcam,untracked,5999,,,,"{""electronic_peripherals"":1.0}","[""electronics""]",160.0,9216.0,3,https://www.logitech.com/en-us/shop/p/c920s-pro-hd-webcam
31,usb flash drive,untracked,3199,,,,"{""mixed_electronics"":1.0}","[""electronics""]",12.0,36.0,3,https://www.target.com/p/sandisk-ultra-flair-usb-3-0-flash-drive-64-gb-usb-3-0-5-year-warranty/-/A-78408288
32,pen,untracked,10,,,,"{""mixed_plastics"":1.0}",[],10.0,25.0,3,https://www.target.com/p/bic-10pk-xtra-life-ballpoint-pens-medium-tip-black-ink/-/A-16951588
33,pencil,untracked,43,,,,"{""dimensional_lumber"":1.0}",[],7.0,12.2,3,https://www.target.com/p/ticonderoga-original-ticonderoga-pencils-no-2-soft-unsharpened-box-of-72/-/A-90350172
34,notebook,untracked,35,,,,"{""mixed_paper"":1.0}",[],200.0,10000.0,3,https://www.target.com/p/subject-spiral-notebook-wide-ruled-dealworthy/-/A-94446119
35,sticky notes,untracked,89,,,,"{""mixed_paper"":1.0}",[],40.0,400.0,3,https://www.target.com/p/post-it-3-34-x-3-34-sticky-notes-90-sheets-pad/-/A-17078752
36,sticker sheet,untracked,,,,,"{""mixed_paper"":1.0}",[],5.0,6.2,3,NEEDS_HUMAN
37,lanyard badge,untracked,,,,,"{""mixed_plastics"":1.0}",[],25.0,156.2,3,NEEDS_HUMAN
38,laptop,untracked,19900,,,,"{""portable_electronic_devices"":1.0}","[""electronics"",""battery""]",1400.0,490000.0,3,https://www.target.com/p/hp-chromebook-14-hd-laptop-intel-celeron-n4500-4gb-ram-64gb-emmc-chrome-os/-/A-1003474299
39,tablet,untracked,9999,,,,"{""portable_electronic_devices"":1.0}","[""electronics"",""battery""]",480.0,57600.0,3,https://www.target.com/p/amazon-fire-hd-8-tablet-2024/-/A-93604891
40,phone case,untracked,1999,,,,"{""mixed_plastics"":1.0}",[],30.0,225.0,3,https://www.target.com/p/apple-iphone-15-iphone-14-iphone-13-silicone-case-with-magsafe-heyday/-/A-89231363
41,usb-a cable,untracked,599,,,,"{""mixed_electronics"":1.0}","[""electronics""]",40.0,400.0,3,https://www.target.com/p/3-39-usb-a-to-usb-c-cable-dealworthy-8482-white/-/A-91252434
42,lightning cable,untracked,1999,,,,"{""mixed_electronics"":1.0}","[""electronics""]",35.0,306.2,3,https://www.target.com/p/apple-usb-c-to-lightning-cable-1m/-/A-91119671
43,aa battery,untracked,83,,,,"{""mixed_metals"":1.0}","[""battery""]",24.0,144.0,3,https://www.target.com/p/energizer-max-aa-batteries-24pk-alkaline-battery/-/A-86500007
44,coin cell battery,untracked,175,,,,"{""mixed_metals"":1.0}","[""battery""]",3.0,2.2,3,https://www.target.com/p/energizer-2032-batteries-4pk-lithium-coin-battery/-/A-14568091
45,granola bar,inventory,12,45.0,,533,"{""food_waste"":0.9,""mixed_plastics"":0.1}","[""food""]",45.0,506.2,3,estimate: 50 percent of retail https://www.target.com/p/nature-valley-crunchy-oats-39-n-honey-granola-bars-24ct/-/A-13781127
46,energy drink can,inventory,140,260.0,,1073,"{""food_waste"":0.95,""aluminum_cans"":0.05}","[""food""]",260.0,16900.0,3,estimate: 50 percent of retail https://www.target.com/p/red-bull-energy-drink-8-4-fl-oz-can/-/A-13426756
47,coffee pod,inventory,35,12.0,,5833,"{""food_waste"":0.6,""mixed_plastics"":0.4}","[""food""]",12.0,36.0,3,estimate: 50 percent of retail https://www.target.com/p/the-original-donut-shop-regular-keurig-k-cup-coffee-pods-medium-roast-24ct/-/A-79582438
48,napkin,inventory,1,,,,"{""mixed_paper"":1.0}",[],3.0,2.2,3,https://www.webstaurantstore.com/choice-15-x-17-white-2-ply-dinner-napkin-case/5002DNAP.html
49,plastic fork,inventory,1,,,,"{""mixed_plastics"":1.0}",[],4.0,4.0,3,https://www.webstaurantstore.com/choice-medium-weight-white-plastic-fork-case/130WFORK.html
50,tea bag,inventory,2,3.0,,1667,"{""food_waste"":1.0}","[""food""]",3.0,2.2,3,estimate: 50 percent of retail https://www.target.com/p/lipton-black-tea-bags-100ct/-/A-13010225
